# Grado	Estrés	Rock
2.00	1.11	-1.28
3.00	0.30	-0.31
2.00	1.45	-1.63
2.00	0.60	-0.18
1.00	-0.58	-0.93
2.00	1.20	-1.02
0.00	-1.17	0.14
3.00	0.47	0.60
0.00	-0.54	-0.16
2.00	0.58	-1.22
0.00	-0.42	0.89
1.00	-0.92	-0.72
2.00	0.89	-1.24
1.00	-0.61	-0.80
3.00	0.09	0.04
2.00	1.67	-1.66
3.00	0.15	0.99
2.00	1.01	-1.03
0.00	-0.50	0.79
0.00	-1.04	0.20
1.00	-0.78	-0.71
0.00	-1.23	0.62
2.00	1.18	-1.16
0.00	-0.16	0.24
2.00	0.38	-1.20
3.00	0.34	0.32
2.00	0.45	-1.01
2.00	0.98	-0.97
3.00	0.14	0.45
3.00	1.08	0.15
2.00	1.40	-0.79
2.00	0.39	-1.68
0.00	-1.08	0.02
2.00	1.53	-1.13
0.00	-0.54	0.10
1.00	-1.63	-0.10
3.00	1.29	0.69
1.00	-0.62	-0.47
2.00	1.57	-1.39
1.00	-0.51	-1.08
0.00	-0.83	-0.19
0.00	-0.34	0.23
0.00	0.11	1.09
1.00	-1.41	-1.24
3.00	0.36	0.10
0.00	-0.85	0.27
1.00	-0.76	-0.55
2.00	0.86	-0.78
2.00	1.04	-0.78
2.00	1.08	-0.48
3.00	0.38	0.78
0.00	-0.62	0.54
1.00	-1.17	-1.33
1.00	-0.79	-0.83
2.00	0.96	-1.20
1.00	-1.17	-1.44
1.00	-0.76	-1.39
0.00	-0.55	0.23
0.00	-0.12	-0.60
3.00	0.55	0.28
0.00	-0.31	0.61
1.00	-0.71	-1.15
0.00	-0.44	1.08
1.00	-0.57	-1.25
3.00	0.99	-0.33
0.00	0.10	1.26
2.00	1.15	-1.37
2.00	1.57	-0.82
2.00	0.93	-1.03
1.00	-1.09	-1.34
1.00	-1.07	-0.85
0.00	-0.19	0.03
1.00	-2.11	-0.54
0.00	-0.70	1.27
0.00	-0.67	0.20
3.00	0.72	-0.00
3.00	0.56	0.78
2.00	1.20	-0.81
3.00	0.29	0.98
3.00	0.34	0.50
3.00	0.78	0.56
3.00	0.19	1.08
2.00	1.69	-0.71
0.00	-0.87	0.95
0.00	-0.43	1.17
1.00	-0.72	-1.60
3.00	0.60	0.13
0.00	-0.41	1.35
2.00	0.45	-1.21
1.00	-0.91	-1.41
3.00	0.38	0.90
0.00	-0.70	1.46
2.00	0.89	-0.79
0.00	-1.30	0.65
1.00	-1.46	-1.14
3.00	0.14	1.03
2.00	1.01	-0.98
0.00	0.05	0.22
3.00	0.19	0.79
0.00	-1.15	0.69
2.00	1.79	-1.08
2.00	0.66	-0.35
3.00	1.03	0.59
0.00	-0.67	1.24
2.00	0.34	-0.44
3.00	0.77	0.11
3.00	0.00	0.03
3.00	0.37	0.68
0.00	-0.59	0.38
1.00	-0.61	-0.69
3.00	-0.19	0.66
0.00	-1.01	0.27
0.00	0.16	0.57
0.00	-0.87	-0.01
2.00	0.76	-0.77
2.00	1.00	-0.12
1.00	-1.30	-1.36
1.00	-0.65	-0.75
1.00	-0.84	-1.08
1.00	-0.92	-1.46
0.00	-1.31	1.33
0.00	-0.12	0.44
2.00	1.00	-0.45
0.00	-0.65	0.30
2.00	0.95	-0.44
1.00	-0.96	-0.62
3.00	0.77	0.90
1.00	-0.83	-1.20
1.00	-0.84	-0.53
2.00	0.80	-0.51
3.00	0.66	0.36
3.00	1.02	1.11
3.00	-0.06	0.38
2.00	1.08	-0.20
3.00	0.29	0.61
1.00	-1.14	-0.57
1.00	-0.48	-0.75
2.00	0.99	-1.20
1.00	-0.47	-1.07
3.00	0.12	0.34
2.00	1.17	-1.06
3.00	1.00	0.04
1.00	-0.84	-0.52
3.00	0.75	0.63
2.00	0.13	-1.25
1.00	-1.57	-0.23
3.00	1.28	0.47
3.00	1.24	0.67
0.00	-0.97	0.86
2.00	1.11	-1.24
2.00	1.56	-1.66
2.00	0.61	-1.24
3.00	1.19	0.19
2.00	1.34	-1.34
0.00	-1.28	0.13
1.00	-0.76	-1.24
3.00	0.77	0.80
1.00	-0.35	-0.85
1.00	-0.44	-0.69
1.00	-1.19	-0.65
0.00	-0.06	1.02
0.00	-0.01	0.98
0.00	-0.45	0.66
3.00	0.24	-0.21
0.00	-0.97	1.02
2.00	0.65	-0.74
0.00	-0.96	0.81
2.00	1.28	-0.83
2.00	1.37	-1.56
0.00	-0.06	0.41
0.00	-0.03	0.43
3.00	0.79	0.63
1.00	-1.85	-0.44
2.00	0.83	-1.26
2.00	0.36	-1.55
1.00	-1.40	-0.33
2.00	0.86	-0.19
1.00	-0.84	-1.71
3.00	0.46	0.33
1.00	-0.59	-0.72
0.00	-0.50	1.21
0.00	-0.87	0.60
1.00	-0.92	-0.79
2.00	1.02	-0.79
2.00	1.32	-0.57
2.00	0.96	-0.45
2.00	0.68	-1.44
2.00	0.32	-0.71
0.00	-0.23	0.32
2.00	0.59	-0.94
0.00	-0.65	0.01
3.00	0.69	0.29
3.00	0.63	0.91
2.00	1.01	-1.01
2.00	1.04	-1.40
2.00	1.16	-1.32
1.00	-1.65	-1.03
3.00	0.83	0.41
0.00	-0.53	-0.03
0.00	-0.07	-0.52
3.00	0.03	-0.01
3.00	0.75	1.15
3.00	0.81	1.26
2.00	0.70	-1.06
2.00	0.33	-0.68
0.00	0.35	-0.14
2.00	0.94	-1.33
1.00	-1.86	-0.47
0.00	-0.28	0.68
1.00	-1.38	-0.90
3.00	0.70	1.03
0.00	-0.55	0.95
3.00	-0.41	0.65
3.00	-0.01	0.48
3.00	-0.11	0.72
2.00	1.33	-1.11
1.00	-0.35	-1.33
3.00	0.02	0.64
0.00	-0.70	0.03
2.00	0.54	-1.52
0.00	-0.24	-0.13
3.00	0.60	0.45
3.00	0.54	1.11
1.00	-0.40	-0.79
1.00	-1.02	-0.90
0.00	-0.29	0.54
3.00	0.97	0.38
1.00	-1.32	-1.21
2.00	0.37	-0.66
3.00	0.33	0.52
2.00	1.03	-0.12
2.00	0.94	-0.52
2.00	1.76	-1.32
0.00	-0.52	0.50
2.00	0.87	-1.01
2.00	1.09	-1.40
0.00	-1.42	0.60
1.00	-0.83	-0.90
2.00	0.75	-0.57
3.00	0.43	0.35
2.00	0.26	-0.85
3.00	0.05	0.12
2.00	1.03	-0.90
0.00	-0.83	-0.09
1.00	-1.25	-1.33
2.00	0.52	-0.41
3.00	1.26	0.19
3.00	0.52	0.37
0.00	-1.40	0.66
1.00	-1.02	-1.11
1.00	-0.88	-0.83
0.00	-0.06	0.76
2.00	1.59	-1.85
0.00	-0.22	0.44
0.00	-0.82	0.94
3.00	0.08	0.30
2.00	1.23	-0.38
2.00	1.12	-0.98
3.00	-0.11	0.41
1.00	-0.80	-1.30
0.00	-0.79	0.58
3.00	0.33	1.05
1.00	-0.61	-0.15
3.00	1.03	-0.02
2.00	1.54	-1.30
2.00	0.66	-1.20
2.00	0.66	-0.50
2.00	0.99	-1.05
0.00	-0.61	0.82
3.00	0.94	0.80
1.00	-1.21	-1.47
1.00	-0.72	-0.68
0.00	0.37	1.03
2.00	1.75	-0.70
3.00	0.01	0.47
0.00	0.09	0.84
0.00	-1.12	0.67
1.00	-1.17	-0.96
1.00	-0.96	-0.85
2.00	1.10	-0.76
3.00	-0.03	0.32
1.00	-2.20	-0.65
1.00	-0.69	-1.11
1.00	-0.96	-0.37
2.00	1.00	-0.85
0.00	-0.59	0.68
2.00	1.44	-0.84
1.00	-0.28	-0.83
1.00	-0.88	-0.67
0.00	-1.00	0.81
2.00	0.70	-1.58
3.00	1.03	0.36
0.00	-1.07	0.30
0.00	-0.13	0.63
1.00	-1.54	-0.49
1.00	-0.69	-1.05
0.00	-0.15	0.45
0.00	-0.65	0.40
2.00	1.01	-0.87
3.00	0.10	-0.14
1.00	-1.34	-1.62
3.00	0.48	1.15
3.00	0.62	0.84
2.00	1.14	-1.19
3.00	-0.08	-0.13
1.00	-1.03	-1.23
0.00	-0.13	0.64
0.00	-1.03	-0.04
1.00	-1.44	-1.22
3.00	0.99	0.77
1.00	-0.89	-1.12
3.00	-0.02	0.11
1.00	-1.73	-1.28
2.00	1.12	-1.44
0.00	-0.92	0.98
1.00	-0.67	-0.87
1.00	-0.56	-1.06
1.00	-0.63	-1.07
0.00	-0.88	0.34
3.00	0.63	0.65
1.00	-0.80	-1.01
1.00	-0.02	-1.08
3.00	0.91	1.08
0.00	-0.86	0.65
0.00	-0.54	0.23
2.00	1.16	-0.23
2.00	0.95	-0.80
0.00	-0.22	0.50
2.00	-0.25	-0.74
0.00	-0.96	0.32
3.00	0.48	0.16
1.00	-0.63	-0.73
3.00	0.66	0.70
1.00	-0.62	-1.17
2.00	0.38	-0.79
3.00	0.25	0.84
2.00	1.18	-1.25
0.00	-0.81	0.72
3.00	0.93	0.41
2.00	0.56	-0.77
3.00	0.77	0.49
3.00	0.62	0.91
1.00	-0.78	-1.73
3.00	0.41	0.79
2.00	1.68	-0.43
0.00	-0.80	0.17
0.00	-0.39	-0.43
0.00	-0.23	0.66
1.00	-1.34	-0.99
1.00	-1.80	-0.76
1.00	-0.97	-0.69
2.00	0.69	-0.49
2.00	0.92	-0.95
2.00	1.28	-1.12
3.00	-0.43	0.16
2.00	1.01	-1.05
0.00	-0.23	0.35
1.00	-1.10	-1.14
1.00	-1.03	-0.90
2.00	1.03	-1.64
3.00	0.78	0.71
3.00	0.29	0.39
0.00	-0.22	1.02
3.00	0.92	0.03
1.00	-1.27	-0.87
3.00	-0.05	0.62
1.00	-0.34	-1.57
1.00	-1.12	-1.14
3.00	0.20	0.40
3.00	0.66	-0.15
0.00	-0.55	0.54
3.00	0.06	0.59
0.00	-0.13	1.06
2.00	1.40	-1.07
2.00	0.92	-0.37
1.00	-1.00	-1.31
3.00	0.76	0.64
1.00	-1.33	-1.56
1.00	-1.18	-1.70
3.00	0.43	0.04
0.00	-0.55	0.38
2.00	1.08	-0.77
2.00	0.82	-1.25
0.00	-0.05	0.70
0.00	-0.97	0.04
2.00	1.18	-0.91
2.00	1.14	-1.24
2.00	1.48	-1.56
0.00	-0.61	0.05
0.00	-0.31	-0.11
1.00	-0.59	-0.72
1.00	-1.27	-0.33
2.00	1.31	-0.83
0.00	-0.89	-0.09
0.00	-0.09	0.28
3.00	0.42	0.27
0.00	0.42	0.08
1.00	-1.68	-1.04
0.00	-0.62	0.41
3.00	0.33	0.06
3.00	0.51	0.01
3.00	0.54	1.43
3.00	0.28	1.10
0.00	-0.99	0.84
2.00	0.68	-1.00
0.00	-0.19	0.91
3.00	0.40	0.84
1.00	-0.87	-1.06
2.00	0.55	-0.60
2.00	0.63	-0.44
3.00	0.56	0.10
3.00	0.53	0.42
2.00	1.59	-0.98
2.00	2.05	-1.30
0.00	-0.75	0.35
0.00	-0.35	0.06
0.00	-1.18	1.28
1.00	-0.98	-0.88
1.00	-0.86	-0.74
3.00	0.74	0.31
3.00	-0.30	-0.12
1.00	-0.84	-0.36
0.00	-0.61	0.22
2.00	1.05	-0.74
1.00	-0.95	-1.79
3.00	0.18	0.69
2.00	1.35	-1.73
1.00	-0.91	-0.44
1.00	-1.10	-1.10
2.00	1.02	-1.13
1.00	-1.43	-1.05
1.00	-1.16	-1.35
3.00	0.57	0.54
3.00	0.61	0.50
0.00	-0.52	0.39
3.00	-0.12	0.90
3.00	0.24	-0.08
2.00	0.69	-1.11
1.00	-0.19	-1.12
3.00	-0.17	0.62
0.00	0.45	0.88
1.00	-1.53	-0.78
3.00	0.97	0.83
1.00	-1.34	-1.13
0.00	-0.72	-0.25
3.00	0.87	0.81
2.00	1.52	-0.95
3.00	-0.59	0.06
2.00	1.10	-0.55
1.00	-0.67	-0.80
2.00	0.72	-0.55
0.00	0.27	1.09
2.00	1.30	-0.92
3.00	0.41	1.27
1.00	-0.54	-0.86
1.00	-1.01	-0.67
3.00	0.34	0.37
2.00	0.61	-0.81
1.00	-0.81	0.10
0.00	-0.75	0.34
0.00	-1.24	0.31
2.00	0.99	-1.05
1.00	-1.34	-1.36
2.00	0.77	-0.85
3.00	0.32	0.70
3.00	0.97	-0.42
1.00	-1.15	-0.62
0.00	-0.37	0.88
2.00	0.65	-0.65
2.00	0.76	-1.61
0.00	-0.79	0.17
1.00	-1.30	-0.99
3.00	0.21	0.25
3.00	0.23	0.33
2.00	0.69	-1.13
2.00	0.98	-0.73
1.00	-1.18	-0.43
1.00	-0.76	-1.42
1.00	-1.03	-1.52
3.00	0.70	0.01
0.00	0.19	0.77
2.00	1.62	-0.65
3.00	0.24	-0.13
0.00	-0.05	0.07
0.00	-0.44	0.65
0.00	-0.64	0.27
2.00	0.98	-1.18
3.00	0.88	-0.30
3.00	0.49	0.47
1.00	-0.80	-1.34
1.00	-0.81	-0.31
0.00	-0.73	0.61
0.00	-0.65	0.38
3.00	0.85	1.01
3.00	0.56	0.16
0.00	0.25	0.86
2.00	0.05	-1.55
0.00	-0.94	0.52
0.00	0.41	-0.08
2.00	0.70	-1.24
2.00	1.15	-1.40
1.00	-0.73	-0.98
1.00	-0.54	-0.93
1.00	-1.20	-1.03
0.00	-0.51	0.93
2.00	1.70	-1.12
0.00	-0.32	0.63
0.00	-0.88	0.18
1.00	-1.42	-1.34
1.00	-1.12	-1.34
1.00	0.07	-1.08
3.00	0.78	0.78
1.00	-0.79	-0.90
2.00	1.34	-1.32
1.00	-1.44	-1.01
2.00	0.60	-1.86
0.00	-0.78	0.88
0.00	-0.12	0.54
2.00	1.06	-1.10
0.00	-0.81	0.72
0.00	-0.15	-0.56
1.00	-0.79	-1.13
2.00	0.35	-1.20
0.00	-1.15	-0.13
2.00	0.84	-0.62
3.00	0.60	0.26
3.00	1.10	0.73
1.00	-1.25	-1.16
1.00	-0.58	-0.76
1.00	-1.21	-0.58
2.00	1.40	-1.21
1.00	-0.72	-1.42
1.00	-1.19	-1.21
2.00	1.37	-1.02
0.00	-1.01	0.89
3.00	0.01	0.30
0.00	-0.66	-0.72
1.00	-1.16	-1.19
2.00	0.71	-1.66
3.00	0.34	0.06
3.00	0.79	1.30
3.00	1.03	0.45
2.00	1.04	-0.92
1.00	-0.92	-0.65
3.00	0.75	-0.25
0.00	-0.43	0.54
2.00	0.56	-1.01
1.00	-1.52	-0.49
2.00	1.31	-1.12
1.00	-0.46	-0.64
1.00	-0.55	-1.21
0.00	-0.90	-0.12
1.00	-1.32	-0.90
0.00	-0.71	0.94
1.00	-1.60	-0.40
3.00	-0.19	0.75
0.00	-0.70	0.32
1.00	-0.79	-0.84
0.00	-0.20	0.55
1.00	-0.78	-0.64
3.00	0.89	1.07
3.00	0.28	0.54
2.00	1.17	-1.02
1.00	-0.99	-1.24
1.00	-0.69	-1.66
3.00	0.84	1.28
2.00	1.44	-1.44
2.00	0.92	-0.81
2.00	0.66	-0.95
1.00	-1.19	-1.34
2.00	0.81	-1.34
1.00	-1.24	-1.46
2.00	0.63	-1.58
2.00	0.87	-1.35
3.00	0.53	0.30
2.00	0.88	-0.65
1.00	-0.70	-0.57
1.00	-0.94	-1.38
0.00	-0.91	0.47
3.00	0.70	0.25
3.00	0.09	0.04
2.00	0.61	-0.43
0.00	-1.12	0.53
2.00	0.58	-1.13
2.00	0.88	-1.18
2.00	0.94	-0.97
1.00	-0.95	-1.26
0.00	-0.69	-0.38
3.00	0.45	0.42
1.00	-1.37	-0.92
1.00	-0.97	-0.99
1.00	-1.18	-0.85
3.00	-0.06	0.82
2.00	1.57	-0.42
0.00	-0.70	0.08
0.00	-0.39	0.74
1.00	-1.20	-0.69
1.00	-0.98	-0.65
1.00	-0.45	-1.12
1.00	-0.90	-0.94
0.00	0.20	0.90
1.00	-1.30	-1.02
3.00	0.93	1.13
2.00	0.50	-0.99
2.00	1.06	-1.09
3.00	0.34	0.67
3.00	-0.00	0.71
0.00	-0.55	0.93
3.00	0.54	0.16
2.00	0.59	-1.26
0.00	0.01	0.58
1.00	-1.57	-0.20
2.00	1.29	-1.10
3.00	0.55	0.16
1.00	-0.44	-0.58
3.00	0.55	0.82
1.00	-0.62	-0.84
0.00	-0.32	0.54
3.00	0.39	0.03
0.00	-0.44	0.37
3.00	-0.28	0.70
2.00	0.70	-1.15
3.00	1.14	0.58
2.00	0.74	-0.91
2.00	0.40	-1.11
1.00	-0.73	-1.28
3.00	0.54	0.23
2.00	1.10	-0.96
3.00	1.29	0.68
2.00	1.54	-1.16
0.00	0.28	0.66
1.00	-1.31	-0.89
2.00	1.01	-0.11
0.00	-0.20	0.85
3.00	0.20	0.48
3.00	0.69	0.15
0.00	-0.27	0.42
3.00	0.06	0.58
0.00	-0.66	0.04
1.00	-0.91	-0.97
1.00	-1.23	-0.81
0.00	0.58	0.47
1.00	-1.38	-1.54
2.00	0.69	-1.60
2.00	1.18	-1.14
0.00	-0.17	0.73
3.00	0.54	0.45
3.00	0.54	0.12
3.00	0.29	-0.05
1.00	-0.29	-1.16
3.00	1.26	1.17
3.00	0.92	0.16
2.00	1.56	-0.94
1.00	-0.59	-1.82
2.00	1.28	-0.97
0.00	-0.76	0.57
1.00	-1.31	-0.65
1.00	-1.46	-1.49
1.00	-0.44	-1.16
3.00	0.08	0.82
0.00	-0.98	0.30
0.00	-1.06	0.26
2.00	1.03	-0.43
3.00	0.33	-0.40
2.00	1.18	-0.59
3.00	0.95	0.28
3.00	1.16	0.22
0.00	-0.60	1.11
3.00	0.39	0.80
0.00	-1.31	0.28
3.00	0.85	0.26
0.00	-0.72	0.31
2.00	1.43	-1.64
1.00	-0.92	-0.88
2.00	1.51	-1.35
0.00	-0.35	0.56
0.00	-0.91	0.36
0.00	-0.32	-0.23
3.00	1.04	0.58
3.00	0.73	0.93
3.00	0.93	0.21
1.00	-0.78	-0.08
3.00	0.62	0.07
2.00	0.93	-0.64
3.00	0.83	0.50
3.00	1.49	0.58
2.00	0.31	-0.76
1.00	-2.03	-1.46
3.00	-0.53	0.12
1.00	-1.49	-0.61
0.00	-0.64	-0.05
3.00	0.27	0.73
1.00	-0.30	-0.70
3.00	0.80	-0.06
1.00	-1.02	-0.50
2.00	1.07	-0.88
1.00	-1.02	-1.57
2.00	0.61	-1.36
1.00	-0.26	-1.09
2.00	1.22	-1.06
2.00	1.36	-0.28
3.00	0.22	0.28
0.00	-0.52	0.46
3.00	0.94	0.22
3.00	0.66	-0.00
3.00	0.69	0.56
0.00	-0.52	0.59
2.00	0.60	-1.40
3.00	0.13	0.86
0.00	-0.48	0.43
3.00	0.09	0.05
2.00	0.67	-1.38
3.00	-0.22	0.06
0.00	-0.77	1.16
3.00	0.06	0.70
3.00	1.18	0.27
1.00	-0.65	-1.32
1.00	-0.86	-1.06
3.00	0.68	0.50
1.00	-1.12	-1.80
0.00	-1.40	0.09
0.00	-0.57	0.18
0.00	-0.69	0.75
0.00	-0.92	0.83
1.00	-1.33	-1.21
0.00	-0.13	0.49
0.00	-0.88	0.36
3.00	0.30	-0.30
3.00	0.51	0.72
3.00	0.67	0.42
2.00	0.84	-0.69
2.00	0.43	-1.37
1.00	-0.71	-0.56
0.00	-0.04	0.93
0.00	-0.78	0.77
0.00	-0.41	0.63
3.00	0.82	0.15
0.00	-0.69	-0.07
1.00	-0.68	-1.48
3.00	0.74	0.49
1.00	-0.88	-1.55
3.00	0.42	0.43
0.00	-0.62	0.52
1.00	-0.63	-1.21
3.00	0.40	0.19
3.00	1.11	0.48
1.00	-0.95	-1.56
2.00	0.75	-0.31
2.00	0.69	-1.47
1.00	-1.55	-1.43
1.00	-1.54	-1.02
3.00	0.73	0.83
3.00	0.67	0.87
3.00	0.12	0.31
3.00	0.43	0.14
3.00	-0.10	0.17
1.00	-0.71	-1.03
2.00	0.74	-0.94
3.00	1.01	0.74
0.00	-0.39	0.46
2.00	0.60	-0.97
1.00	-1.05	-1.11
3.00	-0.44	0.10
1.00	-0.98	-1.63
2.00	1.17	-1.50
2.00	1.87	-0.74
3.00	0.48	0.71
1.00	-0.75	-1.25
3.00	-0.06	0.43
3.00	0.71	0.36
3.00	0.83	0.56
2.00	0.60	-0.96
1.00	-0.83	-0.78
2.00	0.84	-0.45
3.00	0.24	0.69
3.00	0.86	0.86
0.00	0.21	0.66
3.00	0.42	0.09
3.00	0.58	1.28
0.00	-0.93	0.92
1.00	-0.86	-1.06
1.00	-1.34	-0.87
2.00	0.93	-0.67
1.00	-1.72	-0.84
1.00	-0.37	-1.32
1.00	-0.92	-1.50
3.00	0.21	0.41
1.00	-0.65	-0.41
3.00	0.61	-0.16
2.00	0.31	-0.28
1.00	0.27	-0.92
0.00	-0.26	0.86
1.00	-1.00	-1.00
2.00	1.02	-1.38
3.00	0.13	0.43
2.00	0.80	-1.11
1.00	-1.16	-1.13
3.00	0.31	1.06
0.00	-0.41	0.68
0.00	-0.58	0.46
1.00	-1.16	-1.02
0.00	-0.87	0.43
3.00	1.22	0.02
3.00	0.72	0.76
2.00	1.07	-0.47
2.00	0.83	-0.54
3.00	0.14	0.69
2.00	0.98	-0.89
0.00	0.10	0.42
0.00	-0.54	0.91
3.00	-0.05	0.18
3.00	-0.02	0.46
3.00	-0.06	0.65
2.00	0.36	-0.42
2.00	1.28	-0.63
0.00	-0.01	0.53
1.00	-0.83	-0.78
2.00	0.92	-1.69
1.00	-0.65	-1.11
0.00	-0.51	0.65
0.00	-0.88	0.91
2.00	1.08	-0.32
0.00	-0.55	0.66
3.00	0.49	0.83
2.00	1.19	-0.31
1.00	-0.94	-0.37
3.00	0.66	0.69
2.00	0.28	-1.32
2.00	0.77	-0.87
3.00	0.85	0.48
1.00	-1.18	-0.97
3.00	0.66	0.25
3.00	0.33	0.23
2.00	1.47	-0.71
0.00	-0.31	0.35
0.00	-0.48	0.70
2.00	1.33	-1.12
2.00	0.71	-1.45
2.00	1.62	-0.75
0.00	-0.64	-0.15
2.00	1.25	-0.64
2.00	0.64	-0.78
0.00	-0.99	0.38
2.00	1.18	-1.38
1.00	-0.83	-1.24
3.00	0.36	-0.02
0.00	-0.81	0.46
2.00	1.01	-0.58
0.00	-0.19	0.31
3.00	0.45	0.68
3.00	-0.11	0.87
3.00	0.25	0.21
1.00	-0.98	-0.06
3.00	0.47	1.14
3.00	0.59	-0.36
2.00	0.96	-1.42
3.00	0.60	0.49
0.00	-0.86	0.52
0.00	-0.44	0.59
2.00	0.51	-0.94
2.00	0.85	-1.38
1.00	-0.27	-1.03
1.00	-1.34	-0.27
1.00	-1.08	-0.96
0.00	0.07	0.66
1.00	-0.90	-1.16
0.00	-1.28	0.24
0.00	-0.68	0.66
0.00	-0.41	0.66
3.00	0.73	0.95
2.00	0.48	-1.32
3.00	0.35	0.84
0.00	-0.36	1.31
0.00	0.03	0.46
3.00	0.76	0.36
2.00	1.13	-0.88
2.00	2.00	-0.32
1.00	-0.06	-1.51
0.00	-0.41	0.02
3.00	0.29	0.38
2.00	0.33	-0.76
0.00	-0.52	0.03
1.00	-0.70	-1.22
0.00	-0.36	0.65
0.00	-1.03	0.32
2.00	0.97	-1.28
0.00	-0.74	0.48
1.00	-1.48	-0.83
0.00	-0.62	-0.17
1.00	-0.80	-0.86
2.00	1.62	-1.38
0.00	0.01	-0.10
1.00	-0.97	-1.43
0.00	-0.40	0.14
0.00	0.20	0.45
2.00	0.68	-0.38
0.00	-1.03	-0.29
0.00	-0.34	0.06
1.00	-0.99	-0.76
2.00	0.19	-1.39
2.00	1.15	-0.60
3.00	-0.24	0.76
1.00	-1.19	-1.00
3.00	0.32	0.10
0.00	-0.65	0.32
3.00	0.37	0.77
0.00	-0.53	0.58
0.00	-0.59	0.13
1.00	-0.72	-0.98
1.00	0.04	-1.16
0.00	-0.74	0.95
0.00	-0.42	-0.21
1.00	-0.14	-1.04
1.00	-1.14	-0.19
1.00	-1.31	-0.31
1.00	-1.31	-0.75
0.00	-0.97	1.28
2.00	1.22	-1.27
2.00	0.79	-1.04
3.00	-0.15	0.73
3.00	0.31	0.86
3.00	0.40	0.62
2.00	0.47	-0.43
0.00	-1.02	1.16
1.00	-0.49	-0.80
0.00	-0.76	-0.63
3.00	0.38	0.71
3.00	0.31	0.42
3.00	0.90	1.05
2.00	1.42	-0.62
2.00	0.74	-0.93
2.00	1.01	-1.17
2.00	0.74	-0.80
1.00	-1.02	-1.13
2.00	0.51	-0.89
3.00	0.90	1.15
